Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
AUDI Q7 45 TDI quattro-ultra S tronic,Valencia,2019, Diésel,54.557,Automático,232,55.900,Sin financiación,CarNext.com Valencia,"3,5"
KIA XCeed 1.6 T-GDi Eco-Dynamics DCT Emotion,Barcelona,2020, Gasolina,12.000,Automático,204,25.900,Con financiación,"DELTA PRAT, Concesionario Oficial Kia","4,0"
FORD Focus 1.5 TDCi 120 CV Start&Stop Business,Ciudad Real,2016, Diésel,100.000,Manual,120,10.450,Con financiación,JEREZAUTO,"5,0"
VOLKSWAGEN Golf Sportsvan 1.2 TSI BMT Edition,Barcelona,2014, Gasolina,149.000,Manual,110,9.990,Con financiación,n/a,n/a
PEUGEOT 2008 1.6 BlueHDI S&S Allure EAT6 120,Zaragoza,2018, Diésel,36.211,Automático,120,16.300,Con financiación,n/a,n/a
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,Madrid,2019, Gasolina,17.055,Automático,160,21.950,Sin financiación,n/a,n/a
BMW X1 xDrive 25dA,Barcelona,2012, Diésel,90.000,Automático,218,17.900,Sin financiación,n/a,n/a
AUDI Q3 2.0 40 TDI S TRONIC QUATTRO S LINE 190 5P,Murcia,2020, Diésel,27.326,Automático,190,42.300,Con financiación,n/a,n/a
AUDI A3 1.6 30 TDI ALL-IN SPORTBACK 116 5P,Murcia,2020, Diésel,10,Manual,116,27.000,Sin financiación,n/a,n/a
TOYOTA C-HR 125H Advance,Alicante,2017, Híbrido,65.312,Automático,122,19.495,Con financiación,n/a,n/a
FORD Mondeo 2.0TDCi Titanium,Valencia,2007, Diésel,260.000,Manual,140,4.950,Sin financiación,MA AUTOMOCION,"4,5"
NISSAN Juke G E6D-Temp 83 kW (112 CV) 5M/T ACENTA,Madrid,2019, Gasolina,19.129,Manual,112,12.310,Con financiación,GAMBOA OCASION,"4,0"
JAGUAR E-Pace 2.0 I4 R-Dynamic HSE AWD Aut. 249,Barcelona,2018, Gasolina,29.815,Automático,249,39.900,Sin financiación,CarNext.com Barcelona,"3,0"
KIA Stonic 1.0 T-GDi Drive 100 cv -BiTono-,Madrid,2019, Gasolina,25.072,Manual,100,14.160,Con financiación,GAMBOA OCASION,"4,0"
TOYOTA Land Cruiser D-4D VX,Madrid,2017, Diésel,104.233,Manual,177,1,Con financiación,GAMBOA OCASION,"4,0"
FIAT 500L 1.6Mjt II S&S Lounge,Lugo,2018, Diésel,95.000,Manual,120,11.900,Con financiación,n/a,n/a
NISSAN Micra IG-T 92 CV ACENTA  CVT,Zaragoza,2021, Gasolina,368,Automático,999,14.900,Con financiación,ARVESA,"3,5"
AUDI A5 2.0 35 TDI S TRON B.LINE SPORTBACK 163 5P,Murcia,2020, Diésel,19.233,Automático,163,45.700,Con financiación,AUDI HUERTAS MOTOR CARTAGENA,"5,0"
MERCEDES-BENZ Clase C C-CLASS 2.0 200 D AUTO 150 4P,Murcia,2019, Diésel,47.300,Automático,150,33.500,Sin financiación,AUDI HUERTAS MOTOR CARTAGENA,"5,0"
RENAULT Clio E-TECH Híbrido Zen 103kW,Huesca,2020, Híbrido,2.000,Automático,140,18.730,Con financiación,n/a,n/a
LEXUS NX 300h Executive Navigation 4WD,Madrid,2019, Híbrido,14.000,Automático,197,42.490,Con financiación,ÉLITE LAS ROZAS,"2,5"
MERCEDES-BENZ Clase GLA 220d 7G-DCT 177,Pontevedra,2018, Diésel,59.968,Automático,177,29.490,Con financiación,TALLERES HERMINDO,"3,5"
CITROEN C4 GRAND PICASSO 1.2 PURETECH 96KW S&S RIP CURL 130 5P,Cantabria,2018, Gasolina,66.000,Manual,130,15.990,Con financiación,"AUTO NORTE, concesionario y servicio oficial","4,5"
BMW Serie 3 335dA Coupé,Vizcaya,2007, Diésel,194.000,Automático,286,15.500,Sin financiación,MERKEAUTO,"3,5"
BMW Serie 4 435dA xDrive Cabrio Sport,Madrid,2014, Diésel,100.000,Automático,313,30.000,Con financiación,n/a,n/a
JAGUAR E-Pace 2.0 P 147KW R-DYNAMIC S AUTO 4WD 200 5P,Islas Baleares,2019, Gasolina,26.368,Automático,200,33.900,Sin financiación,n/a,n/a
RENAULT Mégane 1.3 TCe GPF Intens 103kW,Madrid,2021, Gasolina,10,Manual,140,17.990,Sin financiación,n/a,n/a
KIA XCeed DRIVE,Pontevedra,2020, Diésel,52.890,Manual,115,18.900,Con financiación,TALLERES HERMINDO,"3,5"
AUDI A3 1.6 30 TDI S LINE SPORTBACK 116 5P,Murcia,2020, Diésel,13.528,Manual,116,25.300,Con financiación,n/a,n/a
VOLKSWAGEN Arteon 2.0TDI R-Line DSG7 110kW,Madrid,2018, Diésel,55.300,Automático,150,31.100,Con financiación,ALDAUTO MOTOR VW,"3,0"
PEUGEOT 5008 SUV 1.5BlueHDi S&S Allure 130,Barcelona,2021, Diésel,10,Manual,130,30.760,Con financiación,AUTOVIVO,"5,0"
HYUNDAI i10 1.2 Link,Madrid,2018, Gasolina,86.975,Manual,87,8.500,Con financiación,Esmicoche.com,"5,0"
PEUGEOT 5008 SUV 1.5BlueHDi S&S Allure 130,Barcelona,2021, Diésel,10,Manual,130,30.760,Con financiación,AUTOVIVO,"5,0"
HYUNDAI i10 1.2 Link,Madrid,2018, Gasolina,86.975,Manual,87,8.500,Con financiación,Esmicoche.com,"5,0"
AUDI A4 2.0TDI CD 150 S line edition,Madrid,2015, Diésel,82.647,Manual,150,19.500,Con financiación,Esmicoche.com,"5,0"
TOYOTA C-HR 125H Dynamic Plus,Ceuta,2017, Híbrido,79.200,Automático,122,18.995,Con financiación,n/a,n/a
JAGUAR I-Pace SE,Madrid,2019, Eléctrico,20.000,Automático,400,53.900,Con financiación,BRUSELAS MOTOR S.L,"2,5"
VOLKSWAGEN Golf Sportsvan 1.2 TSI BMT Edition,Barcelona,2014, Gasolina,149.000,Manual,110,9.990,Con financiación,n/a,n/a
LEXUS RX 450h L Executive Tecno,Madrid,2018, Híbrido,51.164,Automático,313,40.990,Con financiación,"MOTOR ARJONA, concesionario oficial Toyota","4,0"
BMW X6 xDrive 30dA,Alicante,2013, Diésel,98.000,Automático,245,27.900,Con financiación,QUALITY CARS DENIA,"4,0"
PORSCHE Cayman PDK,Barcelona,2015, Gasolina,39.000,Automático,275,46.950,Con financiación,n/a,n/a
PEUGEOT 2008 1.6 BlueHDI S&S Allure EAT6 120,Zaragoza,2018, Diésel,36.211,Automático,120,16.300,Con financiación,n/a,n/a
KIA XCeed DRIVE,Pontevedra,2020, Diésel,52.890,Manual,115,18.900,Con financiación,TALLERES HERMINDO,"3,5"
SEAT León ST 1.6TDI CR S&S Style 105,Alicante,2014, Diésel,197.400,Manual,105,7.990,Sin financiación,AUTOMÓVILES CARRUS,"4,0"
VOLVO XC40 D4 Momentum AWD Aut.,Barcelona,2018, Diésel,49.046,Automático,190,32.300,Sin financiación,CarNext.com Barcelona,"3,0"
